uuid,snomed_id,root_snomed_id,root_snomed_name,name,triage_level,relevance_male,relevance_female,relation1_type,child1_name,grouping1_selection_type,relation2_type,child2_name,grouping2_selection_type,relation3_type,child3_name,grouping3_selection_type
351ab0d6-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Pus filled blister,worrisome,,,characteristic,Pus filled blister,m,,,,,,
351ab4f0-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Painful,worrisome,,,characteristic,Painful,m,,,,,,
351ab7e8-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Painless,opd_managed,,,characteristic,Painless,m,,,,,,
351abab8-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Itching,opd_managed,,,characteristic,Itching,m,,,,,,
351abd7e-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Single blister,opd_managed,,,characteristic,Single blister,m,,,,,,
351ac080-b7a2-11eb-86ef-1e003a340631,,823996003,Blister of skin,Blister of skin <char> Multiple blisters,worrisome,,,characteristic,Multiple blisters,m,,,,,,
35294766-eee7-491a-ac9a-7b8dfbe4ceec,699393002,699393002,Pulling at ears,Pulling at ears,worrisome,,,,,,,,,,,
35303c94-a444-4f26-a007-b332dfeb5d51,,34789001,Pain in the coccyx,Pain in the coccyx <char> Discharge,worrisome,,,characteristic,Discharge,m,,,,,,
3601f15f-55b5-472f-a3a4-18318af88567,,299414004,Ankle swelling,Ankle swelling <since> 3 days to 7 days,opd_managed,,,duration_since,3 days to 7 days,s,,,,,,
3644176f-6f3d-4059-91b2-f7e94624bd1a,,12584003,Bone pain,Bone pain <severity> severe,opd_managed,,,severity,severe,s,,,,,,
3701fbe8-399a-4d82-844a-bfcb7a7426a2,,70582006,Scar of skin,Scar of skin <loc> Neck,opd_managed,,,location,Neck,m,,,,,,
370b65e4-e96e-42aa-a32b-56589d1af397,,95324001,Skin lesion,Skin lesion <char> bleeds on touch,worrisome,,,characteristic,bleeds on touch,m,,,,,,
37544a03-20ff-4e23-845e-9914f5cc49c3,,299033004,Deformity of hand,Deformity of hand <loc> Hands,worrisome,,,location,Hands,m,,,,,,
378d39b6-b192-4859-9a5d-5e70a47f892d,,247549004,Hair breaking,Hair breaking <loc> Generalised,opd_managed,,,location,Generalised,m,,,,,,
379ea25d-7017-4a0a-b070-ad66e71ef320,,275887009,Scaly scalp,Scaly scalp <severity> moderate,opd_managed,,,severity,moderate,s,,,,,,
37c41dbd-1104-4c0b-8419-3939a07e979b,,288939007,Difficulty swallowing,Difficulty swallowing <since> less than 1 week,worrisome,,,duration_since,less than 1 week,s,,,,,,
37ff8f27-40a4-4ad5-9566-6d721d7eea0e,,88092000,Muscle atrophy,Muscle atrophy <onset> sudden onset,worrisome,,,onset,sudden onset,s,,,,,,
383eff71-c21f-4e95-9892-5f0ac734a92f,,428786006,Localized superficial swelling of skin,Localized superficial swelling of skin <char> Multilobular,opd_managed,,,characteristic,Multilobular,m,,,,,,
388141df-5e90-4b54-869d-9e68fc087835,53890003,53890003,Pressure of speech,Pressure of speech,worrisome,,,,,,,,,,,
38a26fcf-cea1-4873-b2aa-1d6fbfadf1f4,,250087009,Joint deformity,Joint deformity <loc> elbow joint,worrisome,,,location,elbow joint,m,,,,,,
38d5fb8f-cb5a-4dc6-8bd0-92af05be956a,,88092000,Muscle atrophy,Muscle atrophy <loc> Feet,worrisome,,,location,Feet,m,,,,,,
38f75b0c-d5fd-4e44-9180-24b6ff5b8347,,95321009,Skin fissures,Skin fissures <loc> soles,opd_managed,,,location,soles,m,,,,,,
38fd7fc3-b6be-4bd5-ac18-9d7229188bdf,,3253007,Discoloration of skin,Discoloration of skin <char> painful,opd_managed,,,characteristic,painful,m,,,,,,
3900152e-10fb-432a-91a3-cc2438cf16b5,,271807003,Skin rash,Skin rash <char> Hyperpigmentation,opd_managed,,,characteristic,Hyperpigmentation,m,,,,,,
3916504f-2fd9-4344-a1de-ba6f89852b14,,83785004,Transient visual obscuration,Transient visual obscuration <laterality> left,worrisome,,,laterality,left,s,,,,,,
39613ec0-44f2-41c2-a186-32a8f9e3152d,307077003,307077003,Feeling hopelessness,Feeling hopelessness,worrisome,,,,,,,,,,,
39bffd1e-6837-440d-8157-6c662edf8adf,299234001,299234001,Hip flexion deformity,Hip flexion deformity,opd_managed,,,,,,,,,,,
39c6243f-7404-4523-adc8-ca0918db735c,228365005,228365005,Craving for alcohol,Craving for alcohol,opd_managed,,,,,,,,,,,
3a3dc8c3-d218-488d-ab6f-4a4834e30db7,,201114008,Nail deformity,Nail deformity <char> Rough nail surface,opd_managed,,,characteristic,Rough nail surface,m,,,,,,
3a470afe-7b8f-423f-9851-974ca1e7be6b,,111516008,Blurring of visual image,Blurring of visual image <laterality> right,opd_managed,,,laterality,right,s,,,,,,
3a5d046a-4abb-4201-ad2e-8ae61951f6bd,1186,1186,Foreign body sensation in the nose,Foreign body sensation in the nose,worrisome,,,,,,,,,,,
3b81ccb3-7859-49ed-bf18-d44a32e713b1,,44780000,Hypnagogic hallucinations,Hypnagogic hallucinations <char> auditory,worrisome,,,characteristic,auditory,m,,,,,,
3bb4e015-13ac-4553-8c49-bbceb4761a5d,,3253007,Discoloration of skin,Discoloration of skin <loc> Lower limb <loc> Toes,opd_managed,,,location,Lower limb,m,location,Toes,,,,
3c0b3655-0478-4871-8cca-63b87c721405,,68235000,Nasal congestion,Nasal congestion <agg by> use of nasal decongestant,opd_managed,,,aggravated,use of nasal decongestant,m,,,,,,
3c232071-b3f6-4e84-9764-92baf355f630,,95319004,Skin nodule,Skin nodule <loc> Limbs,opd_managed,,,location,Limbs,m,,,,,,
3c3a9e0f-5eda-4d6e-a58d-d6831d8cfe11,,250087009,Joint deformity,Joint deformity <loc> toe joint,worrisome,,,location,toe joint,m,,,,,,
3c5967c8-ff4f-407f-b3d3-e62028da2893,,444659003,Blister of foot,Blister of foot <loc> Inner side of the foot,opd_managed,,,location,Inner side of the foot,m,,,,,,
3c603a43-225f-415b-9470-8da867e4ea43,,428786006,Localized superficial swelling of skin,Localized superficial swelling of skin <loc> upper limb <loc> wrist,opd_managed,,,location,upper limb,m,location,wrist,,,,
3c70003a-d042-4157-84ec-1e16ae2e521c,,24982008,Double vision,Double vision <laterality> left,worrisome,,,laterality,left,s,,,,,,
3c857f29-52a3-43a1-b068-3db378f13f1e,,102556003,Pain in upper limb,Pain in upper limb <char> pallor,emergency,,,characteristic,pallor,m,,,,,,
3cf137a7-7f7c-4f38-9f45-e5585a178fc6,,387603000,Imbalance,Imbalance <char> inability to walk a straight line,emergency,,,characteristic,inability to walk a straight line,m,,,,,,
3d7090bf-f5cd-4cca-8f0f-3c9ece17e8f6,,827160004,Erythematous rash,Erythematous rash <loc> Localised,opd_managed,,,location,Localised,s,,,,,,
3df45956-14ff-463e-961a-825a899ee200,719232003,719232003,Difficulty walking,Difficulty walking,worrisome,,,,,,,,,,,
3e89efe8-835d-4b4e-8ab0-8827e18ec74c,724386005,724386005,Genital Ulcer,Genital Ulcer,worrisome,,,,,,,,,,,
3e9e81b6-3635-4fa7-ac60-7d7b23ddc11d,,45326000,Shoulder pain,Shoulder pain <agg by> sleeping on the side of the affected shoulder,opd_managed,,,aggravated,sleeping on the side of the affected shoulder,m,,,,,,
3eb5c901-2c33-4ab5-8e5a-224641e3c328,,22066006,Squint,Squint <laterality> both,opd_managed,,,laterality,both,s,,,,,,
3eb91322-b341-45cc-99cf-adfaef9eeac0,,289524006,Vaginal swelling,Vaginal swelling <char> skin over vagina appears red,worrisome,,,characteristic,skin over vagina appears red,m,,,,,,
3ec1894f-e1c7-4760-8832-c95abe3dda84,,44780000,Hypnagogic hallucinations,Hypnagogic hallucinations <char> tactile,worrisome,,,characteristic,tactile,m,,,,,,
3ecee84d-ca8f-4a14-be82-7e20de9edde0,,161891005,Back pain,Back pain <char> Skin changes,opd_managed,,,characteristic,Skin changes,m,,,,,,
3f21a273-80fa-4b1e-be79-b0212422a219,,286933003,Delirium,Delirium <char> not oriented to people,emergency,,,characteristic,not oriented to people,m,,,,,,
3fa9cd24-e6c6-4a1b-8787-802bb15a5ca9,,267042006,Prominent veins,Prominent veins <loc> Lower limb <char> bleeding present,emergency,,,location,Lower limb,m,characteristic,bleeding present,,,,
3fe82bc8-cf8b-4592-a204-5349cfda154c,,111516008,Blurring of visual image,Blurring of visual image <char> blurring in all directions,worrisome,,,characteristic,blurring in all directions,m,,,,,,
3febb7f4-b92b-4fce-b690-5c2f181884de,,275887009,Scaly scalp,Scaly scalp <char> Itching,opd_managed,,,characteristic,Itching,m,,,,,,
40043fbd-7ac3-4610-a632-3dd09031b426,,299902004,Loss of temperature sensation,Loss of temperature sensation <laterality> left,worrisome,,,laterality,left,s,,,,,,
405b3936-8b51-4473-8646-f87bd1e974fc,,299033004,Deformity of hand,Deformity of hand <laterality> right,opd_managed,,,laterality,right,s,,,,,,
40c99089-0334-48c8-9d71-e9ae1c02f1fa,,249968003,Unpleasant urge to move legs,Unpleasant urge to move legs <rel by> at rest,worrisome,,,relieved,at rest,m,,,,,,
410bc2d6-0914-4bcc-9e4a-a5b8619adcc9,,95668009,Pain in face,Pain in face <laterality> both,worrisome,,,laterality,both,s,,,,,,
412282ad-53d5-40f9-8dd2-d1483d136466,,300278002,Abnormal tonsils,Abnormal tonsils <char> Membrane on tonsil,emergency,,,characteristic,Membrane on tonsil,m,,,,,,
42671aaf-c58a-4550-aab5-37d5176c65f6,,12584003,Bone pain,Bone pain <since> 1 week to 4 weeks,opd_managed,,,duration_since,1 week to 4 weeks,s,,,,,,
426f3fc5-bd02-4ecb-b49f-a8e45d5df50f,,95324001,Skin lesion,Skin lesion <loc> Forehead,opd_managed,,,location,Forehead,m,,,,,,
429234f1-830d-46e4-82c7-465f189d6203,,38433004,Loss of pain sensation,Loss of pain sensation <laterality> right,worrisome,,,laterality,right,s,,,,,,
42b2020a-cb65-4c8b-870c-129be37f894a,,271807003,Skin rash,Skin rash <char> Increasing size,worrisome,,,characteristic,Increasing size,m,,,,,,
42e27c47-bb70-49c3-a6b9-ceaa1b2ddbfe,,3253007,Discoloration of skin,Discoloration of skin <loc> Upper limb <loc> Hands,opd_managed,,,location,Upper limb,m,location,Hands,,,,
43402555-90bf-4e3f-8ce9-a8b8fba05061,22066006,22066006,Squint,Squint,opd_managed,,,,,,,,,,,
4372f97e-92c4-494b-807e-7748dadbdf4e,721130001,721130001,Hair follicle inflammation,Hair follicle inflammation,opd_managed,,,,,,,,,,,
43742294-b96c-489e-87a0-2ac205bd9a92,224973000,224973000,Frustrated,Frustrated,worrisome,,,,,,,,,,,
43b7a89a-8c14-4f57-b1ce-7bf4e7cfdb8b,,3253007,Discoloration of skin,Discoloration of skin <loc> Face,opd_managed,,,location,Face,m,,,,,,
43d4845f-57b2-4c7b-860b-daca59e28e21,,250087009,Joint deformity,Joint deformity <loc> hip joint,worrisome,,,location,hip joint,m,,,,,,
43eecb85-d2d7-46e4-89f9-4200a78c782b,,297957009,Tightening of skin,Tightening of skin <since> Less than 1 month,opd_managed,,,duration_since,Less than 1 month,s,,,,,,
443b75e1-6aa5-44d7-bb77-c08373fcf4c5,,38433004,Loss of pain sensation,Loss of pain sensation <laterality> left,worrisome,,,laterality,left,s,,,,,,
444dab2e-1dee-4668-969d-244bd2488b79,,250087009,Joint deformity,Joint deformity <loc> knee joint,worrisome,,,location,knee joint,m,,,,,,
44583206-6c86-434f-9967-cc39b97a9a43,,404640003,Dizziness,Dizziness <agg by> on wearing a tight collored shirt,worrisome,,,aggravated,on wearing a tight collored shirt,m,,,,,,
44b3b132-2577-4572-a0bd-25ff675f7426,,247441003,Erythema,Erythema <loc> Generalised,worrisome,,,location,Generalised,s,,,,,,
44b7293e-299b-450f-ace8-f42472c184f9,,25064002,Headache,Headache <pattern> continuous,worrisome,,,temporal_pattern,continuous,s,,,,,,
458bbf06-4ca0-4921-9bca-c1a1b54402ae,,445413001,Shiny skin,Shiny skin <loc> Lower limb <loc> Foot,opd_managed,,,location,Lower limb,m,location,Foot,,,,
45a8208f-4242-4f8d-931e-55e9505d2fb0,,75803007,Postnasal drip,Postnasal drip <since> 1 week to 4 weeks,opd_managed,,,duration_since,1 week to 4 weeks,s,,,,,,
461e5efc-01c4-4a03-8f97-a4e146daadc4,,70733008,Restricted joint movement,Restricted joint movement <loc> elbow joint,worrisome,,,location,elbow joint,m,,,,,,
466db0bf-7db8-4a38-ad8e-c65ea9f4edc4,,12584003,Bone pain,Bone pain <since> more than 1 month,opd_managed,,,duration_since,more than 1 month,s,,,,,,
46a608e3-0818-485c-bd71-080cfb10c314,,789493002,Pimples,Pimples <pattern> single episode,opd_managed,,,temporal_pattern,single episode,s,,,,,,
46c3133a-5999-4de9-92be-c4a0202dd665,,285375003,Pain in penis,Pain in penis <char> discharge present,worrisome,,,characteristic,discharge present,m,,,,,,
46ce750b-81d9-4c01-863b-9e8993260c20,,298000004,Loss of scalp hair,Loss of scalp hair <char> Thinning of hair <loc> Gradual thinning of hair on top of head,opd_managed,,,characteristic,Thinning of hair,s,location,Gradual thinning of hair on top of head,,,,
47172c6c-a65c-11eb-8d02-1e003a340630,21522001,21522001,Abdominal pain,Abdominal pain,opd_managed,,,,,,,,,,,
47179080-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <since> less than 1 day,opd_managed,,,duration_since,less than 1 day,s,,,,,,
4717d9d2-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <since> 1 day to 7 days,opd_managed,,,duration_since,1 day to 7 days,s,,,,,,
471810c8-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <since> 1 week to 3 week,worrisome,,,duration_since,1 week to 3 week,s,,,,,,
471844a8-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <since> more than 3 week,worrisome,,,duration_since,more than 3 week,s,,,,,,
47187806-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pain> colicky pain,worrisome,,,pain_type,colicky pain,m,,,,,,
4718acf4-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pain> crampy pain,worrisome,,,pain_type,crampy pain,m,,,,,,
4718dbde-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pain> sharp or stabbing pain,worrisome,,,pain_type,sharp or stabbing pain,m,,,,,,
471907ee-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pain> dull aching pain,worrisome,,,pain_type,dull aching pain,m,,,,,,
47193368-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pain> burning pain,worrisome,,,pain_type,burning pain,m,,,,,,
47195e6a-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <severity> mild,opd_managed,,,severity,mild,s,,,,,,
47198962-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <severity> moderate,worrisome,,,severity,moderate,s,,,,,,
4719b3f6-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <severity> severe,emergency,,,severity,severe,s,,,,,,
4719de80-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> diffuse,worrisome,,,location,diffuse,m,,,,,,
471a08ec-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> upper abdomen,worrisome,,,location,upper abdomen,m,,,,,,
471a33ee-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> upper abdomen <loc> epigastric,worrisome,,,location,upper abdomen,m,location,epigastric,,,,
471a5f04-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> upper abdomen <loc> upper right quadrant,worrisome,,,location,upper abdomen,m,location,upper right quadrant,,,,
471a89c0-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> upper abdomen <loc> upper left quadrant,worrisome,,,location,upper abdomen,m,location,upper left quadrant,,,,
471ab4c2-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> lower abdomen,worrisome,,,location,lower abdomen,m,,,,,,
471ade52-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> lower abdomen <loc> lower right quadrant,worrisome,,,location,lower abdomen,m,location,lower right quadrant,,,,
471b03a0-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> lower abdomen <loc> lower left quadrant,worrisome,,,location,lower abdomen,m,location,lower left quadrant,,,,
471b2998-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> lower abdomen <loc> suprapubic,worrisome,,,location,lower abdomen,m,location,suprapubic,,,,
471b4f0e-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> central abdomen,worrisome,,,location,central abdomen,m,,,,,,
471b740c-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> central abdomen <loc> periumbalical,worrisome,,,location,central abdomen,m,location,periumbalical,,,,
471b990a-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> central abdomen <loc> left flank,worrisome,,,location,central abdomen,m,location,left flank,,,,
471bbe26-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> central abdomen <loc> right flank,worrisome,,,location,central abdomen,m,location,right flank,,,,
471be39c-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <loc> migrating pain,worrisome,,,location,migrating pain,m,,,,,,
471c08a4-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <radiate> to right shoulder or shoulder blade,emergency,,,radiating,to right shoulder or shoulder blade,m,,,,,,
471c2db6-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <radiate> to left shoulder or shoulder blade,emergency,,,radiating,to left shoulder or shoulder blade,m,,,,,,
471c52b4-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <radiate> to between shoulder blades,emergency,,,radiating,to between shoulder blades,m,,,,,,
471c78c0-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <radiate> to lower back,worrisome,,,radiating,to lower back,m,,,,,,
471c9db4-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> after caffeine consumption,opd_managed,,,aggravated,after caffeine consumption,m,,,,,,
471cbf06-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> on empty stomach,opd_managed,,,aggravated,on empty stomach,m,,,,,,
471ce0bc-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> on food intake,opd_managed,,,aggravated,on food intake,m,,,,,,
471d0132-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> at night,opd_managed,,,aggravated,at night,m,,,,,,
471d218a-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> in the morning,opd_managed,,,aggravated,in the morning,m,,,,,,
471d41e2-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> on deep respiration,opd_managed,,,aggravated,on deep respiration,m,,,,,,
471d623a-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> by cough or movement,opd_managed,,,aggravated,by cough or movement,m,,,,,,
471d8346-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <agg by> on bending forward,opd_managed,,,aggravated,on bending forward,m,,,,,,
471da3a8-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <rel by> on bending forward,emergency,,,relieved,on bending forward,m,,,,,,
471dc478-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <rel by> on food intake,opd_managed,,,relieved,on food intake,m,,,,,,
471de2f0-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <rel by> on bending knees to the trunk,opd_managed,,,relieved,on bending knees to the trunk,m,,,,,,
471e0014-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <onset> sudden onset,worrisome,,,onset,sudden onset,s,,,,,,
471e1d10-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <rel by> lie motionless,opd_managed,,,relieved,lie motionless,m,,,,,,
471e3a84-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <rel by> on local pressure,worrisome,,,relieved,on local pressure,m,,,,,,
471e5794-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <onset> gradual onset,worrisome,,,onset,gradual onset,s,,,,,,
471e73b4-a65c-11eb-8d02-1e003a340630,,21522001,Abdominal pain,Abdominal pain <pattern> episodic,worrisome,,,temporal_pattern,episodic,s,,,,,,
471e8e62-a65c-11eb-8d02-1e003a340630,49727002,49727002,Cough,Cough,opd_managed,,,,,,,,,,,
471ea8fc-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <since> less than 5 day,opd_managed,,,duration_since,less than 5 day,s,,,,,,
471ec3aa-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <since> 5 day to 14 days,opd_managed,,,duration_since,5 day to 14 days,s,,,,,,
471edde0-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <since> more than 2 week,worrisome,,,duration_since,more than 2 week,s,,,,,,
471ef87a-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> dry cough,opd_managed,,,characteristic,dry cough,s,,,,,,
471f130a-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> productive cough,opd_managed,,,characteristic,productive cough,s,,,,,,
471f2d86-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> productive cough <char> yellow sputum,opd_managed,,,characteristic,productive cough,m,characteristic,yellow sputum,,,,
471f4866-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> productive cough <char> green sputum,opd_managed,,,characteristic,productive cough,m,characteristic,green sputum,,,,
471f6300-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> productive cough <char> clear sputum,opd_managed,,,characteristic,productive cough,m,characteristic,clear sputum,,,,
471f987a-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <char> productive cough <char> blood stained,worrisome,,,characteristic,productive cough,m,characteristic,blood stained,,,,
471fb152-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <agg by> at night,opd_managed,,,aggravated,at night,m,,,,,,
471fc9c6-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <agg by> in the morning,opd_managed,,,aggravated,in the morning,m,,,,,,
471fe226-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <pattern> seasonal variation,opd_managed,,,temporal_pattern,seasonal variation,s,,,,,,
471ffab8-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <pattern> Several episodes in last 3 months,opd_managed,,,temporal_pattern,Several episodes in last 3 months,s,,,,,,
4720132c-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <severity> mild,opd_managed,,,severity,mild,s,,,,,,
47203168-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <severity> moderate,opd_managed,,,severity,moderate,s,,,,,,
47204950-a65c-11eb-8d02-1e003a340630,,49727002,Cough,Cough <severity> severe,worrisome,,,severity,severe,s,,,,,,
4720607a-a65c-11eb-8d02-1e003a340630,25064002,25064002,Headache,Headache,worrisome,,,,,,,,,,,
4720779a-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <lasts> less than 30 mins,opd_managed,,,duration_lasts,less than 30 mins,s,,,,,,
47208eec-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <lasts> 30 mins to 3 hours,opd_managed,,,duration_lasts,30 mins to 3 hours,s,,,,,,
4720a5f8-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <lasts> more than 3 hour,opd_managed,,,duration_lasts,more than 3 hour,s,,,,,,
4720bd22-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <since> less than 1 week,opd_managed,,,duration_since,less than 1 week,s,,,,,,
4720d438-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <since> 1 week to 3 week,worrisome,,,duration_since,1 week to 3 week,s,,,,,,
4720f012-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <since> 3 week to 12 week,worrisome,,,duration_since,3 week to 12 week,s,,,,,,
47210a20-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <onset> sudden onset,opd_managed,,,onset,sudden onset,s,,,,,,
472122b2-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <onset> gradual onset,worrisome,,,onset,gradual onset,s,,,,,,
47213a90-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> generalised,opd_managed,,,location,generalised,s,,,,,,
472151f6-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised,worrisome,,,location,localised,s,,,,,,
47216948-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised <loc> unilateral,worrisome,,,location,localised,m,location,unilateral,,,,
47217f78-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised <loc> bilateral,worrisome,,,location,localised,m,location,bilateral,,,,
472195a8-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised <loc> frontal region,worrisome,,,location,localised,m,location,frontal region,,,,
4721b060-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised <loc> occipital region,worrisome,,,location,localised,m,location,occipital region,,,,
4721ca00-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <loc> localised <loc> temporal region,worrisome,,,location,localised,m,location,temporal region,,,,
4721e03a-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <severity> mild,opd_managed,,,severity,mild,s,,,,,,
4721f5e8-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <severity> moderate,worrisome,,,severity,moderate,s,,,,,,
47220b14-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <severity> severe,emergency,,,severity,severe,s,,,,,,
47221f96-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <agg by> by stress,opd_managed,,,aggravated,by stress,m,,,,,,
4722345e-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <agg by> on bending forward,opd_managed,,,aggravated,on bending forward,m,,,,,,
47225c72-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <agg by> by exposure to light,opd_managed,,,aggravated,by exposure to light,m,,,,,,
4722709a-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <agg by> by exposure to sound,opd_managed,,,aggravated,by exposure to sound,m,,,,,,
4722847c-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <pattern> several episodes in last 3 month,opd_managed,,,temporal_pattern,several episodes in last 3 month,s,,,,,,
4722ac2c-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <pain> sharp or stabbing pain,worrisome,,,pain_type,sharp or stabbing pain,m,,,,,,
4722c036-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <pain> dull aching pain,opd_managed,,,pain_type,dull aching pain,m,,,,,,
4722d3fa-a65c-11eb-8d02-1e003a340630,,25064002,Headache,Headache <pain> throbbing or pulsating pain,worrisome,,,pain_type,throbbing or pulsating pain,m,,,,,,
4722e7c8-a65c-11eb-8d02-1e003a340630,29857009,29857009,Chest pain,Chest pain,worrisome,,,,,,,,,,,
