dataset,slice,case_id,arm,locus,subcode,champion,gold,silver_cluster,silver_locus_ok,rule_locus
da,d2_heldout200b,738,lite,interface_loss,mapper_or_judge_gap,Chronic Granulomatous Disease (CGD),Severe congenital neutropenia (SCN) with hepatic abscess caused by Staphylococcus aureus,unrelated,1,interface_loss
da,d2_heldout200b,684,B06,interface_loss,supervisor_miss_but_scored_ok,Failed Root Canal Therapy,Symptomatic apical periodontitis in tooth #17,unrelated,1,interface_loss
da,d2_heldout100,255,multistance,interface_loss,mapper_or_judge_gap,Lupus erythematosus,Pemphigus erythematosus (Senear-Usher syndrome),parent_subtype,1,interface_loss
da,d2_seq100,188,B06,interface_loss,judge_miss,Cardiac Arrhythmia,Coronary Artery Disease (CAD) with Giant R-wave Syndrome,unrelated,0,interface_loss
da,d2_heldout100,429,collapse3c,interface_loss,mapper_or_judge_gap,Overlap Syndrome,Secukinumab-induced dermatomyositis exacerbation,unrelated,1,interface_loss
mcr,mcr_v2,186,B07,interface_loss,diagnose_miss_but_scored_ok,Discitis/Osteomyelitis,pyogenic spondylodiscitis,unrelated,1,interface_loss
da,d2_heldout100,434,B07,interface_loss,diagnose_miss_but_scored_ok,Dermatophytosis,Dermatophyte infection due to Trichophyton interdigitale,unrelated,1,interface_loss
da,d2_seq100,19,B07,interface_loss,diagnose_miss_but_scored_ok,Metastatic Follicular Thyroid Carcinoma,Follicular thyroid carcinoma with manubrial invasion,parent_subtype,1,interface_loss
da,d2_seq100,90,B07,interface_loss,diagnose_miss_but_scored_ok,Amelanotic Melanoma,Caruncular melanoma,sibling_family,1,interface_loss
da,d2_heldout200b,527,forest,interface_loss,mapper_or_judge_gap,Hemoglobin E disease,Compound heterozygosity for Hemoglobin Tak and Hemoglobin E with polycythemia,parent_subtype,1,interface_loss
mcr,mcr_v2,245,B07,interface_loss,judge_miss,Mesenteric Cyst,ovarian cyst adenofibroma,unrelated,0,interface_loss
da,d2_heldout100,392,adaptive4v2,interface_loss,mapper_or_judge_gap,Onychopapilloma,Pigmented onychomatricoma,unrelated,1,interface_loss
da,d2_heldout200b,523,lite,ok,ok,Hepatitis C Virus (HCV) Infection,Acute-on-chronic liver failure due to acute hepatitis C virus infection,same_entity,1,ok
mcr,mcr_v1,13,collapse3c,ok,ok,Odontoma,Compound odontoma,same_entity,1,ok
da,d2_heldout200b,613,B06,ok,ok,Diverticulitis,Jejunal diverticulitis,same_entity,1,ok
mcr,mcr_200b,339,multistance,ok,ok,Lingual Thyroid,lingual thyroid gland,same_entity,1,ok
mcr,mcr_200b,346,e7,ok,ok,Acral myxoinflammatory fibroblastic sarcoma,myxoinflammatory fibroblastic sarcoma,same_entity,1,ok
da,d2_heldout100,269,aphhm_c_v1,ok,ok,Dystrophic Epidermolysis Bullosa,Severe generalized recessive dystrophic epidermolysis bullosa (RDEB) with revertant mosaicism,same_entity,1,ok
mcr,mcr_v2,208,B07,ok,ok,Takotsubo syndrome,Takotsubo syndrome,same_entity,1,ok
da,d2_seq100,150,collapse3c,ok,ok,Abducens Nerve Palsy,Transient left abducens (cranial nerve VI) nerve palsy,same_entity,1,ok
mcr,mcr_200b,260,collapse3c,ok,ok,Syphilitic Aortitis,syphilitic aortitis,same_entity,1,ok
da,d2_heldout200b,605,collapse3c,ok,ok,Thrombotic Thrombocytopenic Purpura,Congenital Thrombotic Thrombocytopenic Purpura (cTTP),same_entity,1,ok
da,d2_heldout100,432,impc,ok,ok,Lichen planus,Bullous lichen planus of the nails,same_entity,1,ok
mcr,mcr_v1,97,msplit,ok,ok,Fibroadenoma,giant juvenile fibroadenoma,same_entity,1,ok
mcr,mcr_v2,189,B07,ok,ok,Cherubism,cherubism,same_entity,1,ok
mcr,mcr_200b,336,forest,ok,ok,Subacute Thyroiditis,Subacute thyroiditis,same_entity,1,ok
mcr,mcr_200b,444,B06,ok,ok,Langerhans cell histiocytosis,Langerhans cell histiocytosis,same_entity,1,ok
da,d2_heldout100,420,B06,ok,ok,Myocarditis,Fulminant Myocarditis,same_entity,1,ok
mcr,mcr_200b,441,B07,ok,ok,Dengue Encephalitis,Dengue encephalitis,same_entity,1,ok
mcr,mcr_200b,406,multistance,ok,ok,Sturge-Weber syndrome,Sturge-Weber syndrome,same_entity,1,ok
da,d2_heldout200b,752,B06,ok,ok,Spinal Epidural Hematoma,Spontaneous spinal epidural hematoma (SSEH) with underlying vascular malformation,same_entity,1,ok
da,d2_heldout200b,600,forest,ok,ok,Dermatomyositis,Wong-type Dermatomyositis,same_entity,1,ok
mcr,mcr_v2,152,B06,ok,ok,Squamous Cell Carcinoma,Squamous cell carcinoma,same_entity,1,ok
da,d2_heldout100,392,multistance,ok,ok,Onychomatricoma,Pigmented onychomatricoma,same_entity,1,ok
mcr,mcr_200b,448,v0,ok,ok,Thrombotic Thrombocytopenic Purpura,thrombotic thrombocytopenic purpura,same_entity,1,ok
da,d2_heldout200b,631,multistance,ok,ok,Angiosarcoma,Primary Cardiac Angiosarcoma,same_entity,1,ok
mcr,mcr_200b,289,B06,ok,ok,Takayasu Arteritis,Takayasu arteritis,same_entity,1,ok
